,Case,Activity,Timestamp,Resource,label
45979,268,Review drinks,2024-05-16 21:24:52.613,Waiter-000004,
45980,268,Prepare main course,2024-05-16 22:08:25.241,Cook-000002,
45981,268,Signal food complete,2024-05-16 22:41:55.753,Cook-000002,
45982,268,Bring food,2024-05-16 23:15:46.770,Cook helper-000003,
45983,268,Deliver to customer,2024-05-16 23:16:08.321,Waiter-000001,
11221,269,Take order,2024-05-16 21:15:00.000,Waiter-000004,
11222,269,Order processing,2024-05-16 21:15:27.745,Waiter-000005,HOMONYMOUS(Review order)
11223,269,Prepare starter,2024-05-16 21:15:52.693,Cook helper-000002,
11224,269,Drink handling,2024-05-16 21:15:57.693,Barman-000003,HOMONYMOUS(prepare drinks)
11225,269,Bring drinks,2024-05-16 21:17:41.979,Barman-000002,
11226,269,Drink handling,2024-05-16 21:18:15.316,Waiter-000002,HOMONYMOUS(Review drinks)
11227,269,Signal food complete,2024-05-16 22:13:58.158,Cook-000002,
11228,269,Food delivery,2024-05-16 22:41:55.753,Cook helper-000002,HOMONYMOUS(Bring food)
11229,269,Deliver to customer,2024-05-16 22:45:39.188,Waiter-000004,
30871,270,Take order,2024-05-16 21:30:00.000,Waiter-000005,
30872,270,Review order,2024-05-16 21:31:35.208,Waiter-000001,
30873,270,Prepare starter,2024-05-16 21:32:00.185,Cook helper-000001,
30874,270,prepare drinks,2024-05-16 21:32:05.185,Barman-000002,
30875,270,Bring drinks,2024-05-16 21:32:09.477,Barman-000001,
30876,270,Review drinks,2024-05-16 21:36:24.222,Waiter-000002,
30877,270,Prepare main course,2024-05-16 22:28:05.989,Cook-000003,
30878,270,Signal food complete,2024-05-16 23:15:46.770,Cook-000002,
30879,270,Bring food,2024-05-17 00:07:27.407,Cook helper-000001,
30880,270,Deliver to customer,2024-05-17 00:14:34.908,Waiter-000005,
46953,271,Take order,2024-05-16 21:45:00.000,Waiter-000001,
46954,271,Review order,2024-05-16 21:46:43.138,Waiter-000003,
46955,271,prepare drinks,2024-05-16 21:47:09.181,Barman-000003,
46956,271,Bring drinks,2024-05-16 21:49:14.818,Barman-000002,
46957,271,Review drinks,2024-05-16 21:57:28.150,Waiter-000004,
46958,271,prepare drinks,2024-05-16 21:57:56.837,Barman-000001,
46959,271,Bring drinks,2024-05-16 22:03:38.326,Barman-000003,
46960,271,Review drinks,2024-05-16 22:20:35.675,Waiter-000001,
46961,271,Prepare main course,2024-05-16 22:31:09.202,Cook-000003,
46962,271,Signal food complete,2024-05-16 23:27:18.319,Cook-000001,
46963,271,Bring food,2024-05-17 01:10:18.111,Cook helper-000003,
46964,271,Deliver to customer,2024-05-17 01:15:48.153,Waiter-000003,
28258,272,Take order,2024-05-16 22:00:00.000,Waiter-000001,
28259,272,Review order,2024-05-16 22:04:13.431,Waiter-000005,
28260,272,Prepare starter,2024-05-16 22:04:40.562,Cook helper-000003,
28261,272,prepare drinks,2024-05-16 22:04:45.562,Barman-000002,
28262,272,Bring drinks,2024-05-16 22:05:01.645,Barman-000001,
28263,272,Review drinks,2024-05-16 22:14:45.973,Waiter-000002,
28264,272,Prepare main course,2024-05-16 22:31:46.030,Cook-000001,
28265,272,Signal food complete,2024-05-16 23:36:45.484,Cook-000003,
28266,272,Bring food,2024-05-17 00:40:22.535,Cook helper-000003,
28267,272,Deliver to customer,2024-05-17 00:52:29.236,Waiter-000003,
46873,273,Take order,2024-05-16 22:15:00.000,Waiter-000004,
46874,273,Review order,2024-05-16 22:15:09.175,Waiter-000003,
46875,273,prepare drinks,2024-05-16 22:15:36.841,Barman-000002,
46876,273,Bring drinks,2024-05-16 22:18:27.069,Barman-000001,
46877,273,Review drinks,2024-05-16 22:21:14.125,Waiter-000005,
46878,273,Prepare main course,2024-05-16 23:01:22.996,Cook-000003,
46879,273,Signal food complete,2024-05-17 00:20:00.778,Cook-000002,
46880,273,Bring food,2024-05-17 01:04:36.775,Cook helper-000002,
46881,273,Deliver to customer,2024-05-17 01:06:36.538,Waiter-000003,
30807,274,Take order,2024-05-16 22:30:00.000,Waiter-000001,
30808,274,Order processing,2024-05-16 22:32:12.973,Waiter-000004,HOMONYMOUS(Review order)
30809,274,Drink handling,2024-05-16 22:32:50.250,Barman-000002,HOMONYMOUS(prepare drinks)
30810,274,Bring drinks,2024-05-16 22:42:29.868,Barman-000003,
30811,274,Review drinks,2024-05-16 22:45:47.617,Waiter-000005,
30812,274,prepare drinks,2024-05-16 22:46:16.455,Barman-000001,
30813,274,Bring drinks,2024-05-16 22:46:41.509,Barman-000002,
30814,274,Drink handling,2024-05-16 22:52:48.084,Waiter-000002,HOMONYMOUS(Review drinks)
30815,274,Drink handling,2024-05-16 22:53:11.253,Barman-000003,HOMONYMOUS(prepare drinks)
30816,274,Bring drinks,2024-05-16 23:01:24.856,Barman-000002,
30817,274,Review drinks,2024-05-16 23:11:37.624,Waiter-000002,
30818,274,Prepare main course,2024-05-16 23:16:30.776,Cook-000001,
30819,274,Signal food complete,2024-05-17 00:40:22.535,Cook-000003,
30820,274,Bring food,2024-05-17 00:44:53.424,Cook helper-000001,
30821,274,Deliver to customer,2024-05-17 00:45:21.744,Waiter-000001,
26481,275,Take order,2024-05-16 22:45:00.000,Waiter-000001,
26482,275,Review order,2024-05-16 22:47:29.030,Waiter-000003,
26483,275,prepare drinks,2024-05-16 22:47:37.349,Barman-000003,
26484,275,Bring drinks,2024-05-16 22:48:50.969,Barman-000001,
26485,275,Review drinks,2024-05-16 23:00:06.855,Waiter-000004,
26486,275,Prepare main course,2024-05-16 23:22:47.774,Cook-000003,
26487,275,Signal food complete,2024-05-17 00:44:53.424,Cook-000003,
26488,275,Bring food,2024-05-17 18:37:53.581,Cook helper-000001,
26489,275,Deliver to customer,2024-05-17 18:38:29.658,Waiter-000001,
5482,276,Take order,2024-05-16 23:00:00.000,Waiter-000005,
5483,276,Review order,2024-05-16 23:00:43.437,Waiter-000001,
5484,276,prepare drinks,2024-05-16 23:01:55.229,Barman-000001,
5485,276,Bring drinks,2024-05-16 23:02:10.664,Barman-000003,
5486,276,Review drinks,2024-05-16 23:04:10.063,Waiter-000003,
5487,276,prepare drinks,2024-05-16 23:04:47.088,Barman-000001,
5488,276,Bring drinks,2024-05-16 23:10:38.817,Barman-000003,
5489,276,Review drinks,2024-05-16 23:14:37.253,Waiter-000005,
5490,276,Prepare main course,2024-05-16 23:31:35.190,Cook-000003,
5491,276,Signal food complete,2024-05-17 01:10:18.111,Cook-000001,
5492,276,Bring food,2024-05-17 01:35:45.723,Cook helper-000003,
5493,276,Deliver to customer,2024-05-17 01:35:54.188,Waiter-000003,
11581,277,Take order,2024-05-16 23:15:00.000,Waiter-000004,
11582,277,Review order,2024-05-16 23:18:45.611,Waiter-000003,
11583,277,Prepare starter,2024-05-16 23:19:06.589,Cook helper-000001,
11584,277,prepare drinks,2024-05-16 23:19:11.589,Barman-000001,
11585,277,Bring drinks,2024-05-16 23:25:32.081,Barman-000002,
11586,277,Review drinks,2024-05-16 23:28:41.392,Waiter-000002,
11587,277,Signal food complete,2024-05-17 00:07:27.407,Cook-000002,
11588,277,Bring food,2024-05-17 00:20:00.778,Cook helper-000002,
11589,277,Deliver to customer,2024-05-17 00:28:04.094,Waiter-000005,
30294,278,Take order,2024-05-16 23:30:00.000,Waiter-000005,
30295,278,Review order,2024-05-16 23:33:33.287,Waiter-000001,
30296,278,Prepare starter,2024-05-16 23:34:42.970,Cook helper-000002,
30297,278,prepare drinks,2024-05-16 23:34:47.970,Barman-000003,
30298,278,Bring drinks,2024-05-16 23:40:09.135,Barman-000001,
30299,278,Review drinks,2024-05-17 00:01:32.733,Waiter-000001,
30300,278,prepare drinks,2024-05-17 00:02:09.367,Barman-000003,
30301,278,Bring drinks,2024-05-17 00:04:09.426,Barman-000002,
30302,278,Review drinks,2024-05-17 00:04:17.373,Waiter-000002,
30303,278,Prepare main course,2024-05-17 01:04:38.775,Cook-000002,
30304,278,Signal food complete,2024-05-17 01:44:39.434,Cook-000002,
30305,278,Bring food,2024-05-17 18:02:37.942,Cook helper-000002,
30306,278,Deliver to customer,2024-05-17 18:17:45.477,Waiter-000004,
46367,279,Take order,2024-05-16 23:45:00.000,Waiter-000004,
46368,279,Review order,2024-05-16 23:45:29.976,Waiter-000003,
46369,279,prepare drinks,2024-05-16 23:45:55.374,Barman-000002,
46370,279,Bring drinks,2024-05-16 23:56:27.336,Barman-000003,
46371,279,Review drinks,2024-05-16 23:57:19.352,Waiter-000002,
46372,279,Prepare main course,2024-05-17 01:14:12.683,Cook-000002,
46373,279,Signal food complete,2024-05-17 18:28:40.805,Cook-000001,
46374,279,Bring food,2024-05-17 19:11:11.749,Cook helper-000002,
46375,279,Deliver to customer,2024-05-17 19:12:51.956,Waiter-000004,
16053,280,Take order,2024-05-17 00:00:00.000,Waiter-000005,
16054,280,Review order,2024-05-17 00:01:48.621,Waiter-000004,
16055,280,Prepare starter,2024-05-17 00:02:00.325,Cook helper-000003,
16056,280,Drink handling,2024-05-17 00:02:05.325,Barman-000002,HOMONYMOUS(prepare drinks)
16057,280,Bring drinks,2024-05-17 00:03:25.713,Barman-000001,
16058,280,Review drinks,2024-05-17 00:04:09.151,Waiter-000003,
16059,280,prepare drinks,2024-05-17 00:04:38.574,Barman-000001,
16060,280,Drink handling,2024-05-17 00:05:35.416,Barman-000003,HOMONYMOUS(Bring drinks)
16061,280,Review drinks,2024-05-17 00:20:13.950,Waiter-000003,
16062,280,Signal food complete,2024-05-17 01:31:24.593,Cook-000002,
16063,280,Bring food,2024-05-17 01:38:57.169,Cook helper-000001,
16064,280,Deliver to customer,2024-05-17 01:40:26.604,Waiter-000001,
30144,281,Order processing,2024-05-17 00:15:00.000,Waiter-000004,HOMONYMOUS(Take order)
30145,281,Review order,2024-05-17 00:16:56.898,Waiter-000001,
30146,281,prepare drinks,2024-05-17 00:19:07.073,Barman-000002,
30147,281,Bring drinks,2024-05-17 00:27:28.915,Barman-000001,
30148,281,Review drinks,2024-05-17 00:27:42.382,Waiter-000002,
30149,281,Drink handling,2024-05-17 00:27:56.446,Barman-000003,HOMONYMOUS(prepare drinks)
30150,281,Bring drinks,2024-05-17 00:31:24.886,Barman-000002,
30151,281,Review drinks,2024-05-17 00:37:34.782,Waiter-000002,
30152,281,prepare drinks,2024-05-17 00:37:45.030,Barman-000003,
30153,281,Bring drinks,2024-05-17 00:41:43.389,Barman-000001,
30154,281,Review drinks,2024-05-17 00:52:38.418,Waiter-000002,
30155,281,Prepare main course,2024-05-17 01:35:47.723,Cook-000001,
30156,281,Signal food complete,2024-05-17 18:37:53.581,Cook-000003,
30157,281,Food delivery,2024-05-17 18:44:31.130,Cook helper-000003,HOMONYMOUS(Bring food)
30158,281,Deliver to customer,2024-05-17 18:52:59.725,Waiter-000004,
47902,282,Take order,2024-05-17 00:30:00.000,Waiter-000004,
47903,282,Review order,2024-05-17 00:30:09.874,Waiter-000001,
47904,282,prepare drinks,2024-05-17 00:30:23.304,Barman-000002,
47905,282,Bring drinks,2024-05-17 00:30:47.355,Barman-000001,
47906,282,Review drinks,2024-05-17 00:32:39.127,Waiter-000003,
47907,282,Prepare main course,2024-05-17 01:36:09.024,Cook-000001,
47908,282,Signal food complete,2024-05-17 19:09:37.131,Cook-000002,
47909,282,Bring food,2024-05-17 20:19:13.770,Cook helper-000001,
47910,282,Deliver to customer,2024-05-17 20:20:53.231,Waiter-000002,
27519,283,Take order,2024-05-17 00:45:00.000,Waiter-000004,
27520,283,Review order,2024-05-17 00:45:23.349,Waiter-000005,
27521,283,Prepare starter,2024-05-17 00:45:39.129,Cook helper-000002,
27522,283,prepare drinks,2024-05-17 00:45:44.129,Barman-000002,
27523,283,Bring drinks,2024-05-17 01:02:34.205,Barman-000003,
27524,283,Review drinks,2024-05-17 01:05:39.985,Waiter-000001,
27525,283,prepare drinks,2024-05-17 01:07:09.328,Barman-000002,
27526,283,Bring drinks,2024-05-17 01:08:50.575,Barman-000001,
27527,283,Review drinks,2024-05-17 01:09:31.210,Waiter-000004,
27528,283,Prepare main course,2024-05-17 01:38:59.169,Cook-000002,
27529,283,Signal food complete,2024-05-17 18:44:31.130,Cook-000003,
27530,283,Bring food,2024-05-17 18:46:31.093,Cook helper-000002,
27531,283,Deliver to customer,2024-05-17 18:52:41.277,Waiter-000001,
44523,284,Take order,2024-05-17 01:00:00.000,Waiter-000004,
44524,284,Review order,2024-05-17 01:03:21.482,Waiter-000005,
44525,284,Prepare starter,2024-05-17 01:04:03.392,Cook helper-000001,
44526,284,prepare drinks,2024-05-17 01:04:08.392,Barman-000001,
44527,284,Bring drinks,2024-05-17 01:07:31.057,Barman-000003,
44528,284,Review drinks,2024-05-17 01:08:37.839,Waiter-000002,
44529,284,Prepare main course,2024-05-17 01:40:05.405,Cook-000002,
44530,284,Signal food complete,2024-05-17 18:46:31.093,Cook-000003,
44531,284,Bring food,2024-05-17 18:55:12.369,Cook helper-000001,
44532,284,Deliver to customer,2024-05-17 19:06:29.374,Waiter-000001,
30113,285,Order processing,2024-05-17 01:15:00.000,Waiter-000005,HOMONYMOUS(Take order)
30114,285,Review order,2024-05-17 01:15:23.353,Waiter-000001,
30115,285,Prepare food,2024-05-17 01:18:18.169,Cook helper-000002,HOMONYMOUS(Prepare starter)
30116,285,Drink handling,2024-05-17 01:18:23.169,Barman-000003,HOMONYMOUS(prepare drinks)
30117,285,Bring drinks,2024-05-17 01:21:14.781,Barman-000002,
30118,285,Review drinks,2024-05-17 01:26:37.669,Waiter-000004,
30119,285,Prepare main course,2024-05-17 18:02:39.942,Cook-000002,
30120,285,Signal food complete,2024-05-17 19:16:23.568,Cook-000003,
30121,285,Bring food,2024-05-17 19:41:18.617,Cook helper-000002,
30122,285,Food delivery,2024-05-17 19:51:37.092,Waiter-000002,HOMONYMOUS(Deliver to customer)
27092,286,Take order,2024-05-17 01:30:00.000,Waiter-000002,
27093,286,Review order,2024-05-17 01:30:34.928,Waiter-000005,
27094,286,prepare drinks,2024-05-17 01:31:10.481,Barman-000001,
27095,286,Bring drinks,2024-05-17 01:32:23.663,Barman-000003,
27096,286,Review drinks,2024-05-17 18:01:27.173,Waiter-000002,
27097,286,Prepare main course,2024-05-17 18:16:50.446,Cook-000001,
27098,286,Signal food complete,2024-05-17 19:11:11.749,Cook-000001,
27099,286,Bring food,2024-05-17 19:30:37.167,Cook helper-000001,
27100,286,Deliver to customer,2024-05-17 19:35:13.152,Waiter-000001,
5134,287,Take order,2024-05-17 01:45:00.000,Waiter-000004,
5135,287,Review order,2024-05-17 01:45:49.937,Waiter-000002,
5136,287,prepare drinks,2024-05-17 01:48:19.230,Barman-000002,
5137,287,Bring drinks,2024-05-17 01:50:36.272,Barman-000001,
5138,287,Review drinks,2024-05-17 01:54:02.407,Waiter-000005,
5139,287,prepare drinks,2024-05-17 01:55:08.050,Barman-000002,
5140,287,Bring drinks,2024-05-17 01:58:53.779,Barman-000001,
5141,287,Review drinks,2024-05-17 18:00:34.604,Waiter-000004,
5142,287,Prepare main course,2024-05-17 18:49:48.959,Cook-000002,
5143,287,Signal food complete,2024-05-17 19:41:18.617,Cook-000003,
5144,287,Bring food,2024-05-17 19:42:06.578,Cook helper-000003,
5145,287,Deliver to customer,2024-05-17 19:50:17.235,Waiter-000004,
44254,288,Take order,2024-05-17 18:00:00.000,Waiter-000003,
44255,288,Review order,2024-05-17 18:00:24.321,Waiter-000001,
44256,288,Prepare starter,2024-05-17 18:03:18.190,Cook helper-000003,
44257,288,prepare drinks,2024-05-17 18:03:23.190,Barman-000002,
44258,288,Bring drinks,2024-05-17 18:08:21.365,Barman-000001,
44259,288,Review drinks,2024-05-17 18:10:12.697,Waiter-000005,
44260,288,Prepare main course,2024-05-17 18:55:14.369,Cook-000003,
44261,288,Signal food complete,2024-05-17 19:58:16.712,Cook-000001,
44262,288,Bring food,2024-05-17 20:12:43.431,Cook helper-000003,
44263,288,Deliver to customer,2024-05-17 20:15:08.537,Waiter-000003,
29954,289,Take order,2024-05-17 18:15:00.000,Waiter-000003,
29955,289,Review order,2024-05-17 18:16:32.451,Waiter-000001,
29956,289,prepare drinks,2024-05-17 18:16:48.223,Barman-000003,
29957,289,Bring drinks,2024-05-17 18:21:11.355,Barman-000002,
29958,289,Review drinks,2024-05-17 18:28:43.109,Waiter-000002,
29959,289,prepare drinks,2024-05-17 18:29:08.167,Barman-000001,
29960,289,Bring drinks,2024-05-17 18:34:23.763,Barman-000003,
29961,289,Review drinks,2024-05-17 18:36:59.251,Waiter-000003,
29962,289,Prepare main course,2024-05-17 18:58:44.005,Cook-000002,
29963,289,Signal food complete,2024-05-17 19:44:07.026,Cook-000003,
29964,289,Bring food,2024-05-17 20:10:10.301,Cook helper-000001,
29965,289,Deliver to customer,2024-05-17 20:14:43.628,Waiter-000005,
4493,290,Take order,2024-05-17 18:30:00.000,Waiter-000005,
4494,290,Review order,2024-05-17 18:38:43.195,Waiter-000004,
4495,290,prepare drinks,2024-05-17 18:39:42.163,Barman-000002,
4496,290,Bring drinks,2024-05-17 18:41:24.256,Barman-000001,
4497,290,Review drinks,2024-05-17 18:46:48.702,Waiter-000003,
4498,290,prepare drinks,2024-05-17 18:46:55.974,Barman-000003,
4499,290,Bring drinks,2024-05-17 19:09:52.200,Barman-000001,
4500,290,Prepare main course,2024-05-17 19:15:38.080,Cook-000003,
4501,290,Review drinks,2024-05-17 19:18:30.894,Waiter-000005,
4502,290,prepare drinks,2024-05-17 19:18:36.117,Barman-000002,
4503,290,Bring drinks,2024-05-17 19:24:29.355,Barman-000001,
4504,290,Review drinks,2024-05-17 19:31:49.075,Waiter-000003,
4505,290,Signal food complete,2024-05-17 20:10:10.301,Cook-000003,
4506,290,Bring food,2024-05-17 22:37:13.218,Cook helper-000003,
4507,290,Deliver to customer,2024-05-17 22:48:20.560,Waiter-000001,
16771,291,Take order,2024-05-17 18:45:00.000,Waiter-000002,
16772,291,Review order,2024-05-17 18:49:46.203,Waiter-000005,
16773,291,prepare drinks,2024-05-17 18:51:08.925,Barman-000002,
16774,291,Bring drinks,2024-05-17 18:57:10.503,Barman-000001,
16775,291,Review drinks,2024-05-17 18:59:32.628,Waiter-000003,
16776,291,Prepare main course,2024-05-17 19:30:39.167,Cook-000001,
16777,291,Signal food complete,2024-05-17 20:53:11.294,Cook-000001,
16778,291,Bring food,2024-05-17 21:48:46.868,Cook helper-000002,
16779,291,Deliver to customer,2024-05-17 21:51:11.229,Waiter-000002,
40815,292,Take order,2024-05-17 19:00:00.000,Waiter-000002,
40816,292,Review order,2024-05-17 19:03:13.449,Waiter-000005,
40817,292,prepare drinks,2024-05-17 19:07:10.806,Barman-000002,
40818,292,Bring drinks,2024-05-17 19:17:44.508,Barman-000003,
40819,292,Review drinks,2024-05-17 19:19:00.370,Waiter-000001,
40820,292,Prepare main course,2024-05-17 19:42:08.578,Cook-000003,
40821,292,Signal food complete,2024-05-17 20:31:46.573,Cook-000001,
40822,292,Bring food,2024-05-17 20:51:36.813,Cook helper-000002,
40823,292,Deliver to customer,2024-05-17 20:54:58.813,Waiter-000001,
48589,293,Take order,2024-05-17 19:15:00.000,Waiter-000002,
48590,293,Review order,2024-05-17 19:15:33.973,Waiter-000003,
48591,293,Prepare starter,2024-05-17 19:18:59.697,Cook helper-000003,
48592,293,prepare drinks,2024-05-17 19:19:04.697,Barman-000001,
48593,293,Bring drinks,2024-05-17 19:20:47.815,Barman-000003,
48594,293,Review drinks,2024-05-17 19:24:59.435,Waiter-000004,
48595,293,prepare drinks,2024-05-17 19:25:32.243,Barman-000002,
48596,293,Bring drinks,2024-05-17 19:35:17.373,Barman-000001,
48597,293,Review drinks,2024-05-17 19:38:47.113,Waiter-000004,
48598,293,Prepare main course,2024-05-17 20:12:45.431,Cook-000001,
48599,293,Signal food complete,2024-05-17 21:48:46.868,Cook-000001,
48600,293,Bring food,2024-05-18 00:05:26.577,Cook helper-000003,
48601,293,Deliver to customer,2024-05-18 00:05:34.482,Waiter-000002,
26490,294,Take order,2024-05-17 19:30:00.000,Waiter-000002,
26491,294,Review order,2024-05-17 19:31:21.799,Waiter-000005,
26492,294,prepare drinks,2024-05-17 19:31:35.124,Barman-000003,
26493,294,Bring drinks,2024-05-17 19:45:11.985,Barman-000002,
26494,294,Review drinks,2024-05-17 19:47:21.194,Waiter-000003,
26495,294,prepare drinks,2024-05-17 19:49:00.079,Barman-000002,
26496,294,Bring drinks,2024-05-17 19:53:26.325,Barman-000001,
26497,294,Review drinks,2024-05-17 19:53:53.765,Waiter-000005,
26498,294,Prepare main course,2024-05-17 20:19:15.770,Cook-000002,
26499,294,Signal food complete,2024-05-17 22:53:47.937,Cook-000002,
26500,294,Bring food,2024-05-17 23:36:09.993,Cook helper-000001,
26501,294,Deliver to customer,2024-05-17 23:52:14.610,Waiter-000002,
45191,295,Take order,2024-05-17 19:45:00.000,Waiter-000002,
45192,295,Review order,2024-05-17 19:45:31.284,Waiter-000005,
45193,295,prepare drinks,2024-05-17 19:45:41.663,Barman-000001,
45194,295,Bring drinks,2024-05-17 19:48:42.437,Barman-000003,
45195,295,Review drinks,2024-05-17 19:49:18.637,Waiter-000001,
45196,295,Prepare food,2024-05-17 20:51:38.813,Cook-000001,HOMONYMOUS(Prepare main course)
45197,295,Signal food complete,2024-05-17 22:38:00.810,Cook-000003,
45198,295,Bring food,2024-05-17 22:52:21.897,Cook helper-000002,
45199,295,Deliver to customer,2024-05-17 22:54:00.693,Waiter-000005,
32484,296,Take order,2024-05-17 20:00:00.000,Waiter-000003,
32485,296,Review order,2024-05-17 20:00:22.934,Waiter-000001,
32486,296,prepare drinks,2024-05-17 20:00:43.470,Barman-000003,
32487,296,Bring drinks,2024-05-17 20:09:55.182,Barman-000002,
32488,296,Review drinks,2024-05-17 20:11:45.494,Waiter-000002,
32489,296,Prepare main course,2024-05-17 21:11:03.598,Cook-000002,
32490,296,Signal food complete,2024-05-17 23:07:30.446,Cook-000003,
32491,296,Bring food,2024-05-17 23:24:02.143,Cook helper-000003,
32492,296,Deliver to customer,2024-05-17 23:25:10.554,Waiter-000003,
26649,297,Take order,2024-05-17 20:15:00.000,Waiter-000004,
26650,297,Review order,2024-05-17 20:16:26.591,Waiter-000001,
26651,297,Prepare starter,2024-05-17 20:17:00.990,Cook helper-000002,
26652,297,prepare drinks,2024-05-17 20:17:05.990,Barman-000001,
26653,297,Bring drinks,2024-05-17 20:23:13.087,Barman-000003,
26654,297,Review drinks,2024-05-17 20:27:45.222,Waiter-000004,
26655,297,Prepare main course,2024-05-17 21:16:49.758,Cook-000002,
26656,297,Signal food complete,2024-05-17 23:49:04.067,Cook-000002,
26657,297,Bring food,2024-05-18 00:57:23.105,Cook helper-000001,
26658,297,Deliver to customer,2024-05-18 00:59:32.381,Waiter-000004,
1366,298,Take order,2024-05-17 20:30:00.000,Waiter-000005,
1367,298,Review order,2024-05-17 20:31:52.955,Waiter-000001,
1368,298,Prepare starter,2024-05-17 20:33:36.186,Cook helper-000003,
1369,298,prepare drinks,2024-05-17 20:33:41.186,Barman-000002,
1370,298,Bring drinks,2024-05-17 20:36:21.510,Barman-000001,
1371,298,Review drinks,2024-05-17 20:43:44.211,Waiter-000003,
1372,298,Prepare main course,2024-05-17 22:30:14.560,Cook-000002,
1373,298,Signal food complete,2024-05-18 00:10:41.204,Cook-000001,
1374,298,Bring food,2024-05-18 00:19:52.232,Cook helper-000002,
1375,298,Deliver to customer,2024-05-18 00:22:20.586,Waiter-000003,
43842,299,Take order,2024-05-17 20:45:00.000,Waiter-000002,
43843,299,Review order,2024-05-17 20:47:45.673,Waiter-000004,
43844,299,Prepare starter,2024-05-17 20:48:45.460,Cook helper-000001,
43845,299,prepare drinks,2024-05-17 20:48:50.460,Barman-000003,
43846,299,Bring drinks,2024-05-17 20:54:45.997,Barman-000002,
43847,299,Review drinks,2024-05-17 20:54:50.727,Waiter-000005,
43848,299,Signal food complete,2024-05-17 22:37:13.218,Cook-000003,
43849,299,Bring food,2024-05-17 22:38:00.810,Cook helper-000001,
43850,299,Deliver to customer,2024-05-17 22:39:31.517,Waiter-000004,
35239,300,Take order,2024-05-17 21:00:00.000,Waiter-000003,
35240,300,Review order,2024-05-17 21:04:22.007,Waiter-000002,
35241,300,Prepare starter,2024-05-17 21:04:37.794,Cook helper-000003,
35242,300,Drink handling,2024-05-17 21:04:42.794,Barman-000001,HOMONYMOUS(prepare drinks)
35243,300,Bring drinks,2024-05-17 21:08:09.413,Barman-000003,
35244,300,Drink handling,2024-05-17 21:14:19.071,Waiter-000004,HOMONYMOUS(Review drinks)
35245,300,prepare drinks,2024-05-17 21:15:20.568,Barman-000002,
35246,300,Drink handling,2024-05-17 21:18:18.577,Barman-000003,HOMONYMOUS(Bring drinks)
35247,300,Review drinks,2024-05-17 21:18:43.941,Waiter-000003,
35248,300,Prepare food,2024-05-17 22:52:23.897,Cook-000003,HOMONYMOUS(Prepare main course)
35249,300,Signal food complete,2024-05-18 00:12:22.708,Cook-000003,
35250,300,Bring food,2024-05-18 00:21:52.873,Cook helper-000001,
35251,300,Deliver to customer,2024-05-18 00:22:09.693,Waiter-000002,
21236,301,Take order,2024-05-17 21:15:00.000,Waiter-000001,
21237,301,Review order,2024-05-17 21:15:52.630,Waiter-000005,
21238,301,Prepare starter,2024-05-17 21:16:15.305,Cook helper-000001,
21239,301,Drink handling,2024-05-17 21:16:20.305,Barman-000001,HOMONYMOUS(prepare drinks)
21240,301,Drink handling,2024-05-17 21:20:51.340,Barman-000002,HOMONYMOUS(Bring drinks)
21241,301,Review drinks,2024-05-17 21:21:27.787,Waiter-000002,
21242,301,Prepare main course,2024-05-17 23:04:12.796,Cook-000003,
21243,301,Signal food complete,2024-05-18 00:21:52.873,Cook-000003,
21244,301,Food delivery,2024-05-18 01:14:22.425,Cook helper-000003,HOMONYMOUS(Bring food)
21245,301,Deliver to customer,2024-05-18 01:15:10.109,Waiter-000002,
48281,302,Take order,2024-05-17 21:30:00.000,Waiter-000004,
48282,302,Order processing,2024-05-17 21:34:06.088,Waiter-000001,HOMONYMOUS(Review order)
48283,302,Drink handling,2024-05-17 21:34:13.766,Barman-000003,HOMONYMOUS(prepare drinks)
48284,302,Drink handling,2024-05-17 21:40:58.179,Barman-000001,HOMONYMOUS(Bring drinks)
48285,302,Review drinks,2024-05-17 22:23:02.881,Waiter-000004,
48286,302,Prepare main course,2024-05-17 23:24:04.143,Cook-000003,
48287,302,Signal food complete,2024-05-18 00:58:27.647,Cook-000001,
48288,302,Bring food,2024-05-18 01:17:38.283,Cook helper-000001,
48289,302,Food delivery,2024-05-18 01:19:49.617,Waiter-000001,HOMONYMOUS(Deliver to customer)
36143,303,Take order,2024-05-17 21:45:00.000,Waiter-000005,
36144,303,Review order,2024-05-17 21:46:25.208,Waiter-000003,
36145,303,prepare drinks,2024-05-17 21:47:42.542,Barman-000002,
36146,303,Bring drinks,2024-05-17 21:51:53.696,Barman-000003,
36147,303,Review drinks,2024-05-17 21:55:03.467,Waiter-000004,
36148,303,Prepare main course,2024-05-17 23:28:52.545,Cook-000003,
36149,303,Signal food complete,2024-05-18 00:58:40.145,Cook-000002,
36150,303,Bring food,2024-05-18 01:03:24.361,Cook helper-000002,
36151,303,Deliver to customer,2024-05-18 01:08:27.048,Waiter-000005,
24223,304,Take order,2024-05-17 22:00:00.000,Waiter-000001,
24224,304,Review order,2024-05-17 22:05:34.248,Waiter-000005,
24225,304,Prepare starter,2024-05-17 22:06:50.383,Cook helper-000003,
24226,304,prepare drinks,2024-05-17 22:06:55.383,Barman-000002,
24227,304,Bring drinks,2024-05-17 22:07:32.374,Barman-000003,
24228,304,Review drinks,2024-05-17 22:23:25.079,Waiter-000001,
24229,304,Prepare main course,2024-05-17 23:29:42.095,Cook-000003,
